--------- beginning of system
03-03 21:44:59.671  5699  5699 D MccTable: updateMccMncConfiguration mccmnc='46002' fromServiceState=false
03-03 21:44:59.675  5699  5699 D MccTable: updateMccMncConfiguration defaultMccMnc=46002
03-03 21:44:59.676  5699  5699 D MccTable: updateMccMncConfiguration: mcc=460, mnc=2
03-03 21:44:59.676  5699  5699 D MccTable: updateMccMncConfiguration updateConfig config={1.0 460mcc2mnc ?locale ?layoutDir ?swdp ?wdp ?hdp ?density ?lsize ?long ?orien ?uimode ?night ?touch ?keyb/?/? ?nav/?}
03-03 21:45:00.019  3611  3611 I chatty  : uid=1000 system_server expire 1 line
03-03 21:45:00.192  3611  5714 I chatty  : uid=1000(system) Binder_E expire 3 lines
03-03 21:45:00.216  3611  5631 I chatty  : uid=1000(system) Binder_8 expire 3 lines
03-03 21:45:00.250  3611  5697 I chatty  : uid=1000(system) Binder_C expire 2 lines
03-03 21:45:00.271  3611  5724 I chatty  : uid=1000(system) Binder_10 expire 1 line
03-03 21:45:00.275  3611  5654 I chatty  : uid=1000(system) Binder_A expire 2 lines
03-03 21:45:00.279  3611  5187 I chatty  : uid=1000(system) Binder_4 expire 3 lines
03-03 21:45:00.285  3611  5267 I chatty  : uid=1000(system) Binder_6 expire 1 line
03-03 21:45:00.307  3611  5628 I chatty  : uid=1000(system) Binder_7 expire 1 line
03-03 21:45:00.310  3611  5698 I chatty  : uid=1000(system) Binder_D expire 1 line
03-03 21:45:00.581  3611  3669 I chatty  : uid=1000(system) Binder_2 expire 3 lines
03-03 21:45:00.748  3611  5723 I chatty  : uid=1000(system) Binder_F expire 4 lines
03-03 21:45:00.964  3611  5657 I chatty  : uid=1000(system) Binder_B expire 2 lines
03-03 21:45:01.202  3611  3668 I chatty  : uid=1000(system) Binder_1 expire 7 lines
03-03 21:45:01.496  3611  5724 I chatty  : uid=1000(system) Binder_10 expire 7 lines
03-03 21:45:01.579  3611  5628 I chatty  : uid=1000(system) Binder_7 expire 23 lines
03-03 21:45:01.655  3611  3669 I chatty  : uid=1000(system) Binder_2 expire 10 lines
03-03 21:45:01.688  3611  5714 I chatty  : uid=1000(system) Binder_E expire 7 lines
03-03 21:45:02.156  3611  5631 I chatty  : uid=1000(system) Binder_8 expire 12 lines
03-03 21:45:02.459  3611  3671 I chatty  : uid=1000(system) ActivityManager expire 3 lines
03-03 21:45:02.491  3611  5723 I chatty  : uid=1000(system) Binder_F expire 4 lines
03-03 21:45:02.738  3611  5697 I chatty  : uid=1000(system) Binder_C expire 9 lines
03-03 21:45:02.788  3611  3611 I chatty  : uid=1000 system_server expire 5 lines
03-03 21:45:02.852  3611  5266 I chatty  : uid=1000(system) Binder_5 expire 9 lines
03-03 21:45:02.966  3611  5187 I chatty  : uid=1000(system) Binder_4 expire 5 lines
03-03 21:45:03.044  3611  4798 I chatty  : uid=1000(system) Binder_3 expire 7 lines
03-03 21:45:03.054  3611  5654 I chatty  : uid=1000(system) Binder_A expire 11 lines
03-03 21:45:03.603  3611  5698 I chatty  : uid=1000(system) Binder_D expire 4 lines
03-03 21:45:03.713  3611  5657 I chatty  : uid=1000(system) Binder_B expire 12 lines
03-03 21:45:03.889  3611  3676 I chatty  : uid=1000(system) android.display expire 5 lines
03-03 21:45:05.347  3611  4881 I chatty  : uid=1000(system) ConnectivitySer expire 2 lines
03-03 21:45:07.197  3611  5267 I chatty  : uid=1000(system) Binder_6 expire 3 lines
03-03 21:45:09.021  6425  6425 I chatty  : uid=1000(system) com.qualcomm.telephony expire 3 lines
03-03 21:45:09.217  3611  3669 I chatty  : uid=1000(system) Binder_2 expire 26 lines
03-03 21:45:09.222  3611  5654 I chatty  : uid=1000(system) Binder_A expire 14 lines
03-03 21:45:09.264  3611  5267 I chatty  : uid=1000(system) Binder_6 expire 9 lines
03-03 21:45:09.299  3611  5631 I chatty  : uid=1000(system) Binder_8 expire 11 lines
03-03 21:45:09.376  3611  5723 I chatty  : uid=1000(system) Binder_F expire 4 lines
03-03 21:45:09.383  3611  5187 I chatty  : uid=1000(system) Binder_4 expire 6 lines
03-03 21:45:09.422  3611  5697 I chatty  : uid=1000(system) Binder_C expire 11 lines
03-03 21:45:09.481  3611  5698 I chatty  : uid=1000(system) Binder_D expire 8 lines
03-03 21:45:09.554  3611  5714 I chatty  : uid=1000(system) Binder_E expire 8 lines
03-03 21:45:09.596  3611  5628 I chatty  : uid=1000(system) Binder_7 expire 12 lines
